,apparent_mag,name,bayer_designation,distance,spectral_class,mass,radius
157,"−26.74
",Sun," 
",1.5813e-05,"G2
",1.0,1.0
158,"−1.46
",Sirius,"α CMa
","8.6
","A1
",2.1,"1.71´
"
159,"−0.74
",Canopus,"α Car
","310
","A9
",15.0,71.0
160,"−0.27
",Alpha Centauri,"
","4.4
","G2
",1.1,1.2
161,"−0.05
",Arcturus,"α Boo
","37
","K2
",1.1,26.0
162,"0.03
",Vega,"α Lyr
","25
","A0
",2.2,2.7
163,"0.08
",Capella,"α Aur
","43
","G8
",2.6,12.0
164,"0.13
",Rigel,"β Ori
","860
","B8
",23.0,78.9
165,"0.34
",Procyon,"α CMi
","11.4
","F5
",1.5,1.9
166," 0.45
",Betelgeuse,"α Ori
","
","M2
",20.0,950.0
167,"0.46
",Achernar,"α Eri
","144
","B3
",6.7,9.3
168,"0.61
",Hadar,"
","390
","B1
",10.5,8.6
169,"0.76
",Altair,"α Aql
","17
","A7
",1.8,1.8
170,"0.76
",Acrux,"
","320
","B0.5
",18.0,8.9
171,"0.86
",Aldebaran,"α Tau
","65
","K5
",1.5,44.0
172,"0.96
",Antares,"α Sco
","600
","M1.5
",12.0,680.0
173,"0.97
",Spica,"α Vir
","260
","B1
",11.43,7.47
174,"1.14
",Pollux,"β Gem
","34
","K0
",1.9,8.8
175,"1.16
",Fomalhaut,"α PsA
","25
","A3
",1.9,1.8
176,"1.25
",Deneb,"α Cyg
","2,600
","A2
",19.0,203.0
177,"1.25
",Mimosa,"
","350
","B0.5
",16.0,8.4
178,"1.39
",Regulus,"α Leo
","77
","B7
",3.8,3.1
179,"1.50
",Adhara,"
","430
","B2
",12.5,14.0
180,"1.62
",Shaula,"
","700
","B2
",14.5,8.8
181,"1.62
",Castor,"α Gem
","52
","A1
",2.8,2.4
182,"1.64
",Gacrux,"
","88
","M3.5
",1.5,84.0
183,"1.64
",Bellatrix,"
","240
","B2
",8.6,5.8
184,"1.65
",Elnath,"
","130
","B7
",5.0,4.2
185,"1.69
",Miaplacidus,"
","110
","A1
",3.5,6.8
186,"1.69
",Alnilam,"ε Ori
","2,000
","B0
",32.0,42.0
187,"1.72
",Gamma Velorum,"
","1,100
","WC8
",9.0,6.0
188,"1.74
",Alnair,"
","101
","B7
",4.0,3.4
189,"1.77
",Alioth,"
","81
","A1
",2.9,4.2
190,"1.77
",Alnitak,"ζ Ori
","1050
","O9.7
",33.0,20.0
191,"1.79
",Dubhe,"
","120
","G9
",4.25,30.0
192,"1.80
",Mirfak,"
","590
","F5
",8.5,68.0
193,"1.82
",Wezen,"
","1,600
","F8
",17.0,200.0
194,"1.84
",Sargas,"
","270
","F0
",5.7,26.0
195,"1.85
",Kaus Australis,"
","140
","B9.5
",3.5,6.8
196,"1.86
",Avior,"
","630
","K3
",9.0,130.0
197,"1.86
",Alkaid,"
","104
","B3
",6.1,3.4
198,"1.90
",Menkalinan,"
","81
","A1
",2.39,2.77
199,"1.91
","Atria
","
","390
","K2
",7.0,92.0
200,"1.92
",Alhena,"
","109
","A1.5
",2.8,3.3
201,"1.94
","Peacock
","
","180
","B3
",5.9,4.8
202,"1.96
",[2],"
","80
","A1
",2.4,2.9
203,"1.98
",Mirzam,"
","500
","B1
",13.5,10.0
204,"1.98
",Polaris,"α UMi
","430
","F8
",5.4,39.0
205,"2.00
",Alphard,"α Hya
","180
","K3
",3.0,50.0
206,"2.23
",Mintaka,"δ Ori
","1200
","O9.5
",24.0,16.5
207,"2.42
",Scheat,"
","196
","M2.5
",2.1,95.0
208,"2.98
",Almaaz,"
","653
","F0
",15.0,140.0
209,"3.35
",Rasalgethi,"
","360
","M5
",2.8,280.0
210,"3.50
",Tau Ceti,"τ Cet
","11.9
","G8
",0.783,0.893
211,"3.56
",Delta Pavonis,"δ Pav
","19.92
","G8
",0.991,1.22
212,"3.74
",Ran,"ε Eri
","10.48
","K2
",0.82,0.74
213,"3.83
",V382 Carinae,"Car
","8,900
","G2
",20.0,485.0
214,"4
",Eta Carinae,"η Car
","7,500
","O
",100.0,"60–881
"
215,"4.07
",Delta Cephei,"δ Cep
","887
","F5
",4.5,44.5
216,"4.08
",Mu Cephei,"μ Cep
","6,000
","M2
",19.2,972.0
217,"4.09
",Titawin,"υ And
","44.25
","F8
",1.27,1.48
218,"4.1
",Rho Cassiopeiae,"ρ Cas
","8,154
","G2
",22.0,"636-981
"
219,"4.82
",P Cygni,"P Cyg
","5,545
","B1
",30.0,76.0
220,"4.86
",La Superba,"CVn
","1,000
","C5
","
","129 - 342
"
221,"4.91
",VV Cephei,"Cep
","4,900
","M2
",18.2,"516 - 1,050
"
222,"5.20
",61 Cygni,"Cyg
","11.41
","K5
",0.7,0.665
223,"5.4
",R Doradus,"Dor
","178
","M8
","0.7 - 1.0
",298.0
224,"5.47
",Polaris Australis,"Oct
","281
","F0
",1.59,3.74
225,"5.71
",R Coronae Borealis,"Bor
","4,566
","G0
",0.85,85.0
226,"5.88
",54 Piscium,"Psc
","36.1
","K0
",0.76,0.94
227,"6.57
",Mira,"
","300
","M7
",1.2,370.0
228,"6.65
",RW Cephei,"Cep
","14,000
","K2
",13.9,"1,158
"
229,"6.67
",Lacaille 8760,"Mic
","12.87
","M0
",0.6,0.51
230,"6.75
",V838 Monocerotis,"Mon
","19,896
","M6
","?
","380 - 750
"
231,"7.25
",HD 140283,"Lib
","190
","F?
","?
",1.4
232,"7.4
",II Pegasi,"Peg
","130
","K2
",0.8,3.4
233,"8.05
",VY Canis Majoris,"CMa
","3,900
","M5
",17.0,"1,420
"
234,"8.3
",Pistol Star,"Sgr
","25,000
","B3
",100.0,320.0
235,"8.6
",S Doradus,"Dor
","169,000
","B8
",24.0,380.0
236,"8.9
",UY Scuti,"Sct
","5,100
","M4
","7–10
",755.0
237,"9.5
",Barnard's Star,"Oph
","5.98
","M4
",0.14,0.2
238,"10.7
",Luhman 16,"Vel
","6.52
","L7
",0.04,"?
"
239,"11.13
",Proxima Centauri,"Cen
","4.25
","M6
",0.12,0.15
240,"11.71
",KIC 8462852,"Cyg
","1,470
","F3
",1.43,1.58
241,"12.23
",R136a1,"Dor
","163,000
","WN5
",290.0,32.0
